,name,country,latitude,longitude,City,MAPE,MAE,MSE
0,chennai,india,13.095632669927108,80.24103087965432,chennai,223.8328480715598,32.58370612305819,1522.4427613717999
1,bengaluru,india,12.958158574213298,77.59554556404595,bengaluru,20.993835260949503,7.102132865961573,79.97719961489473
2,madurai,india,9.923329401885551,78.12029751123133,madurai,1121.8897093643184,34.08687247930371,1944.5592745407669
3,cochin,india,9.947617472218235,76.27331127982067,cochin,753.4732643993297,34.69511875686714,2213.027922157731
4,colombo,sri lanka,6.919032524997244,79.86146373618487,colombo,562.5700447808076,31.689206701761904,1681.5555542736354
5,kuala lumpur,malaysia,3.124804805680324,101.6682140696838,kuala lumpur,20.757652426476522,7.68771304470891,102.77773555556168
6,chengdu,china,30.65254620711357,104.06455205651886,chengdu,44.77442559473432,14.273012750654594,365.75533215568294
7,kunming,china,24.92920556513115,102.8183546803655,kunming,149.45417453336492,23.331970940927018,1040.4701972161247
8,delhi,india,28.61241355614716,77.2117050571693,delhi,12.824039962397265,4.765908723098629,38.37838723908099
9,singapore,singapore,1.3836874187772927,103.82359194240786,singapore,39.014416055104626,17.539618627997314,562.4665985652813
10,nagercoil,india,8.179557713883382,77.41463641076601,nagercoil,2097.020698824885,35.23770539592371,2041.8734419914308
11,thiruvananthapuram,india,8.522677516105817,76.92924470316134,thiruvananthapuram,1091.3519364695205,34.18029948444755,1948.9475044110789
12,kollam,india,8.88315440005053,76.59112169274121,kollam,2607.910261060037,35.87779371551478,2117.3007834596497
13,coimbatore,india,11.02555721125371,76.94832999170967,coimbatore,655.5959677002501,32.61797430170242,1789.4369672680532
14,jaipur,india,26.898001963200034,75.79810135912349,jaipur,175.75724159874088,24.369718741900915,1082.2199495249185
15,bikaner,india,28.01151159219522,73.31026100597853,bikaner,821.7014865556445,32.72458333414993,1863.4467190229761
16,kanpur,india,26.44983699060332,80.34281065290523,kanpur,274.2469414473669,27.19670301288568,1419.526939810511
17,lucknow,india,26.851557178001077,80.93750020936227,lucknow,123.88168414582026,22.34048251156105,853.8169340533756
18,gwalior,india,26.25344504815755,78.18755489595034,gwalior,621.1896212916838,30.943368072281014,1703.4092355296216
19,bhopal,india,23.24288809944447,77.41068806513273,bhopal,497.7567770112414,29.927561712813258,1658.4041210387288
20,aligarh,india,27.885682422637394,78.07777145588283,aligarh,989.3163142216972,33.408863590342015,1872.7909015041641
21,panipat,india,29.40208734674164,76.96852770795859,panipat,455.85633591302866,31.826637159980788,1792.7642492812986
22,rajkot,india,22.294960147277155,70.79718278837993,rajkot,812.2069033403556,32.731515055861664,1852.5781808367308
23,chandigarh,india,30.713813136572117,76.75185367538604,chandigarh,258.1863251961187,27.060641614632804,1319.110093276762
