,name,country,latitude,longitude,City,M0_MAPE,M1_MAPE,M2_MAPE
0,chennai,india,13.095632669927108,80.24103087965432,chennai,6.226576586247311,7.769913745941729,21.237790179160537
1,bengaluru,india,12.958158574213298,77.59554556404595,bengaluru,20.9955005014549,16.933198047265865,20.797818798997834
2,madurai,india,9.923329401885551,78.12029751123133,madurai,143.48880419569008,2870.7287147732877,408.70299521012566
3,cochin,india,9.947617472218235,76.27331127982067,cochin,87.71280245070763,1465.3875392578884,4757.91086225197
4,colombo,sri lanka,6.919032524997244,79.86146373618487,colombo,59.44523049016754,297.0333946495765,1495.5993071032242
5,kuala lumpur,malaysia,3.124804805680324,101.6682140696838,kuala lumpur,22.422447681168425,35.417934052029885,56.02310852481082
6,chengdu,china,30.65254620711357,104.06455205651886,chengdu,18.219202692932228,37.68393996177574,53.37251103499829
7,kunming,china,24.92920556513115,102.8183546803655,kunming,4.541570395765051,20.085795327352322,27.18011977172554
8,delhi,india,28.61241355614716,77.2117050571693,delhi,21.872488510811667,43.082744171394246,58.76552069508171
9,singapore,singapore,1.3836874187772927,103.82359194240786,singapore,24.908849971038904,40.97569085330822,52.91332082421665
10,nagercoil,india,8.179557713883382,77.41463641076601,nagercoil,449.6091360588795,4792.831439378915,381.09482901188056
11,thiruvananthapuram,india,8.522677516105817,76.92924470316134,thiruvananthapuram,148.07604374803086,12262.466931470559,321.39392898136924
12,kollam,india,8.88315440005053,76.59112169274121,kollam,37837.35797300164,1421.1446689486777,428.5499146791523
13,coimbatore,india,11.02555721125371,76.94832999170967,coimbatore,70.86909358978606,297.09964035518306,398.4759960076278
14,jaipur,india,26.898001963200034,75.79810135912349,jaipur,8.49632716540903,55.26012061391034,206.3320212913379
15,bikaner,india,28.01151159219522,73.31026100597853,bikaner,101.23627748901272,1309.7964507851484,1075.180567777565
16,kanpur,india,26.44983699060332,80.34281065290523,kanpur,17.76488022187184,198.08301123954513,1601.083999477624
17,lucknow,india,26.851557178001077,80.93750020936227,lucknow,10.846537307870266,85.73285684258524,377.0013894040835
18,gwalior,india,26.25344504815755,78.18755489595034,gwalior,65.16472208157141,796.014332343675,1026.1302746199697
19,bhopal,india,23.24288809944447,77.41068806513273,bhopal,49.00754922397821,398.8525463136356,1286.0385626935722
20,aligarh,india,27.885682422637394,78.07777145588283,aligarh,128.8218837277411,1105.6442800474595,1011.8290138234926
21,panipat,india,29.40208734674164,76.96852770795859,panipat,46.39854106459743,183.29006142875775,1559.8575951336168
22,rajkot,india,22.294960147277155,70.79718278837993,rajkot,96.9674208853371,2390.988730038553,18926.442840998083
23,chandigarh,india,30.713813136572117,76.75185367538604,chandigarh,17.026368223980946,56.57083808855813,86.6360116398673
24,kozhikode,india,11.244864920112112,75.78475220067335,kozhikode,6087.816500713914,392.5431019771013,231.42597835995278
25,kannur,india,11.87289990088196,75.3690580622818,kannur,935.5841801573674,457.174159334636,218.4935936884847
26,puducherry,india,11.939278163768456,79.81319944817864,puducherry,211.7835831587172,3594.0872593062054,7260.151235916502
27,brahmapur,india,19.312527597682607,84.79439062320442,brahmapur,444.64395467717094,40847.123343351755,495.73933624690216
28,moradabad,india,28.835978511230923,78.77089376372665,moradabad,141.6338354295416,1437.1316513374086,1815.4227023174144
29,dehradun,india,30.315362075881858,78.03551702594416,dehradun,81.01245945968604,6286.026819645551,936.0711573442401
30,bareilly,india,28.36095951780628,79.43505223950362,bareilly,108.60612565760694,2206.9318788667615,5268.23786501399
31,lahore,pakistan,31.529909011951148,74.32438806269901,lahore,4.378050861182294,4.751737049790133,7.406955666040438
32,faisalabad,pakistan,31.423638253550426,73.09462371964142,faisalabad,52.63071362286672,283.49497906204687,1232.169388028976
33,karachi,pakistan,25.406841982250626,68.35691172952968,karachi,79.14559082276828,992.7504765862258,310.5380243786985
34,multan,pakistan,30.156714602159727,71.51857683893374,multan,72.91642326287071,497.3014176915578,1947.5275751396282
35,islamabad,pakistan,33.69374455156799,73.0469852993705,islamabad,17.504820809958677,13.409274344299197,29.143586904043676
36,peshwar,pakistan,34.02952733082548,71.53834221254789,peshwar,77.97943556203724,1791.3112833608084,998.6247736807222
37,nagpur,india,21.14758484708879,79.08804110355422,nagpur,40.81637772103384,15738.6181770788,1962.3154007011435
38,pune,india,18.52609378406501,73.85985790311098,pune,12.929798079950166,26.956754902932246,46.103130789894216
39,mumbai,india,19.088248013539776,72.89650279359333,mumbai,6.935260178262088,13.462938076012522,33.084531264829344
40,gunagzhou,china,23.14921603665981,113.27601054639985,gunagzhou,10.928887541497446,35.47831856744853,57.488632752704376
41,hong kong,china,22.31297169635991,114.17500640079646,hong kong,6.079394729961742,8.867886296973731,33.96143266823574
42,shenzhen,china,22.54410837615217,114.05658540693688,shenzhen,11.125347700277777,39.330830808283416,63.174856800003546
43,jiangmen,china,22.579687679950982,113.08187655682607,jiangmen,22.18847244700441,9.729226984463484,40.09310994604009
44,haikou,china,20.02432254879412,110.319394322115,haikou,25.890379538318314,77.69652191163341,318.34832239037274
45,dali,china,25.59597644936541,100.24522658656628,dali,97.91022527117808,320.88709567259883,204.19586954829626
46,naning,china,22.816398463520056,108.31693143730656,naning,9.061360851631209,49.776883879504716,98.13662299906872
47,jieyang,china,23.553577874482908,116.37038189211304,jieyang,42.606046044765144,51.17104314996211,20.00022155788588
48,quanzhou,china,24.835774898200896,118.58983263023956,quanzhou,6.192003221104174,21.539195681379326,39.59237798595321
49,xiamen,china,24.494411651636945,118.1358291362958,xiamen,6.256598878023881,27.845263929199515,43.58470971353936
50,zhanjiang,china,21.25136622493746,110.39230065834,zhanjiang,48.53987437034997,151.76757342682097,63.218555009443016
51,maoming,china,21.661013911605416,110.91816942184296,maoming,59.33181345995349,109.99694502222953,95.29352225222819
52,yuzhou,china,22.629950144121352,110.15650761719031,yuzhou,114.80964390527113,2210.242244806492,11066.79424593938
53,chongqing,china,29.550300217140524,106.5396698316166,chongqing,8.831151116763182,20.455797284271032,47.47481457484873
54,wuhan,china,30.572835192252032,114.28981894281726,wuhan,14.760449964594391,31.564094448798624,47.97257066024105
55,changsha,china,28.18486286513028,113.00015955480924,changsha,13.643331531752445,21.507498414730218,34.0954706752533
56,hangzhou,china,30.26088638683009,120.18575922752672,hangzhou,15.601480943317982,32.79268768274883,50.545694382376986
57,shanghai,china,31.21375310537745,121.4760691041554,shanghai,22.166426091634523,47.85444513438237,63.92096733825013
58,suzhou,china,31.295762750522,120.57296801318388,suzhou,16.51040984696456,38.98677254084258,54.91699833255603
59,wuxi,china,31.538417755270416,120.32266171926754,wuxi,7.728316930901613,23.9198805818378,49.69197918109193
60,changzhou,china,31.78426728479456,119.96048442483772,changzhou,5.83373390893335,17.34010799953048,39.92301881572596
61,zhenjiang,china,32.187574487139614,119.44237681180148,zhenjiang,21.390144305137795,9.80548369886014,44.506508317386476
62,yangzhou,china,32.39721523887139,119.44393452139794,yangzhou,10.014865659509594,28.621961547128176,16.60762628230943
63,nantong,china,31.99694300824239,120.8900584469871,nantong,4.214832687126655,13.068649362725175,38.73126291179747
64,jiaxing,china,30.762092274363557,120.74579164938945,jiaxing,15.717324094812703,14.516715772284714,38.49663769228784
