"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST","","307.966666666667","312.411111111111","314.994444444444","316.827777777778","318.65","320.566666666667","322.466666666667","324.316666666667","326.3","328.166666666667","330.233333333333","332.494444444444","334.644444444444","336.261111111111","336.961111111111","336.588888888889","335.366666666667","333.9","333.177777777778","333.872222222222","336.45","340.783333333333","345.627777777778","349.033333333333","350.133333333333","348.027777777778","343.544444444444","339.288888888889","339.072222222222","345.288888888889","359.016666666667","379.111111111111","402.75","426.138888888889","446.244444444444","462.283333333333","474.722222222222","484.888888888889","494.494444444444","504.811111111111","516.066666666667","527.733333333333","538.977777777778","548.577777777778","555.711111111111","560.166666666667","562.366666666667","563.122222222222","563.622222222222","564.805555555556","566.944444444444","569.805555555556","573.138888888889","576.533333333333","579.661111111111","582.583333333333","585.338888888889","588.033333333333","590.611111111111","593.144444444444","",
"Africa Eastern and Southern","AFE","Population density (people per sq. km of land area)","EN.POP.DNST","","9.20692887011601","9.44402399981718","9.69021448623628","9.94537844854629","10.209576278148","10.4828951994395","10.7658963720621","11.059616537938","11.3653706511929","11.6841706109228","12.0165276852367","12.3624730306073","12.7217608265826","13.0940083426603","13.4789445724292","13.8766925633686","14.2875791153085","14.7113722017421","15.1486602270676","15.5992323017681","16.0626305492234","16.5389491937439","17.0294341511038","17.5361573267362","18.0598734758978","18.6012421687623","19.1594831896075","19.7318098870468","20.3151620640985","20.9069546256759","21.5072096695417","22.1162967498927","22.7336276682105","23.3591147883374","23.99224492062","24.6337618400601","25.2848220419829","25.947604077545","26.625607148036","27.321141361789","28.0354813891203","28.7698949004335","29.5263601944905","30.0016590369058","30.8014133174407","31.6286788512768","32.483559028754","33.3672048670407","34.2795815935564","35.2197365336312","36.1899148570708","36.8795276688045","37.8980507310569","38.9405217157582","40.0044648877608","41.089451476288","42.1951621028476","43.3198805539356","44.4620445393142","45.6205916725422","",
"Afghanistan","AFG","Population density (people per sq. km of land area)","EN.POP.DNST","","14.0585468316391","14.3376446958895","14.631648344909","14.9406988332337","15.2650414731","15.6000797264769","15.9451972463701","16.3087622464468","16.7023473314628","17.1314628275302","17.5941769007865","18.0783189978995","18.5654799687227","19.0315686184321","19.4550449994634","19.844369317572","20.1942474280545","20.4547460251752","20.5618570136302","20.4782055409901","20.1948377106236","19.7514956380418","19.2228692332459","18.7116599972402","18.3036720175398","17.9939239225427","17.7920948131794","17.8127470370881","18.1973736258682","19.0305735706729","20.3900709872284","22.2092559373227","24.2500360302347","26.1805314076323","27.7672937460712","28.9061282063076","29.6783741931527","30.2619781365469","30.9259724330374","31.8598607853058","33.1278720696687","34.6515401008847","36.3075464176747","37.9109961210003","39.3331708139767","40.5272035938243","41.5505910491698","42.5038422029039","43.5349585269","44.7472686015669","46.1760590589209","47.7766708063107","49.4757861490578","51.164166015056","52.7629869831195","54.2493108259356","55.649251031078","56.9920457507321","58.3256780583536","59.6849899575303","",
"Africa Western and Central","AFW","Population density (people per sq. km of land area)","EN.POP.DNST","","10.8778368178914","11.1099398888862","11.3513989817146","11.6014527036737","11.8597166000853","12.1263296184857","12.4020292751515","12.6877909663099","12.9848783739269","13.294421096149","13.6166714935368","13.9520682954221","14.3020847657347","14.6691240943691","15.0538200133101","15.4561763606897","15.8765429846846","16.3138019054189","16.7662548724378","17.2325957518312","17.7125231876079","18.2062535237426","18.7136346451052","19.2345879515089","19.7690583896579","20.317276343223","20.8791908492137","21.4542116876599","22.0415246667507","22.6408187022015","23.2519768333963","23.875925127518","24.514724656138","25.1710892814108","25.8471493889969","26.5443310582393","27.2628507436617","28.0022629336553","28.7615161987137","29.5402435168664","30.3383338971321","31.1573440875193","32.0005052079533","32.8720240819476","33.7749301884415","34.7107130617813","35.6786983543708","36.6770284044051","37.702722927155","38.7536382711054","39.8291179975635","40.9299161598005","42.0569476595716","43.2116389078664","44.3949168562578","45.6070453846987","46.8472514255266","48.1140798250676","49.4055347355341","50.720206664483","",
"Angola","AGO","Population density (people per sq. km of land area)","EN.POP.DNST","","4.43687414775006","4.49867570385819","4.5555538621962","4.60014037057833","4.62867811021096","4.63728643619155","4.63177989893318","4.62980107483757","4.65523141092484","4.72476137001684","4.84578406994465","5.01240474853614","5.21158498435871","5.42361674821529","5.6340691425363","5.8391192748857","6.04300473249378","6.24911686853293","6.46355338092564","6.69069543595091","6.9306793935991","7.18133552578808","7.44213042432021","7.71216491537659","7.99068982112778","8.27794657896848","8.57403304724473","8.87787839897329","9.18808374107644","9.50379802679073","9.8250589556429","10.1526919066335","10.4877227881607","10.8315978182402","11.1856942327745","11.5510724312184","11.9287494986765","12.3202053421032","12.7270963343226","13.1511005053341","13.5924865645304","14.0526333520494","14.5355554664314","15.0462324536777","15.588035614021","16.1625932461699","16.7685569904548","17.4024512713564","18.0590960134756","18.7344565653325","19.4278174380364","20.1395083019171","20.8677195796904","21.610470040908","22.3665516964787","23.1350621641133","23.9165549049491","24.7130721103714","25.527632148873","26.3626116948745","",
"Albania","ALB","Population density (people per sq. km of land area)","EN.POP.DNST","","60.5766423357664","62.456897810219","64.3292335766423","66.2093065693431","68.0580656934307","69.8749270072993","71.7371532846715","73.8055474452555","75.9742700729927","77.9371897810219","79.8486496350365","81.8659124087591","83.8230656934307","85.7709489051095","87.7675547445255","89.7272262773723","91.7352554744526","93.6593430656934","95.5413138686131","97.5181386861314","99.491094890511","101.61598540146","103.794160583942","106.001058394161","108.20299270073","110.315145985401","112.540328467153","114.683795620438","117.808138686131","119.946788321168","119.225912408759","118.505072992701","117.784197080292","117.063357664234","116.342481751825","115.621642335766","114.900766423358","114.179927007299","113.459051094891","112.738211678832","111.685145985401","111.350729927007","110.934890510949","110.472226277372","109.908284671533","109.21704379562","108.394781021898","107.566204379562","106.843759124088","106.314635036496","106.02901459854","105.854051094891","105.660291970803","105.441751824818","105.135145985401","104.967189781022","104.870693430657","104.612262773723","104.167554744526","103.571131386861","",
"Andorra","AND","Population density (people per sq. km of land area)","EN.POP.DNST","","30.5914893617021","32.7212765957447","34.9085106382979","37.1617021276596","39.4510638297872","41.8","44.1702127659574","46.5659574468085","49.0489361702128","51.6489361702128","54.4063829787234","57.2021276595745","60.068085106383","62.7978723404255","65.3297872340426","67.6212765957447","69.7212765957447","71.7957446808511","74.0957446808511","76.7297872340425","79.7829787234043","83.2234042553192","86.9234042553192","90.863829787234","94.8787234042553","98.9787234042553","103.104255319149","107.304255319149","111.6","115.974468085106","120.565957446809","125.28085106383","129.731914893617","133.353191489362","135.872340425532","136.942553191489","136.846808510638","136.468085106383","136.953191489362","139.127659574468","143.285106382979","149.03829787234","155.702127659574","162.234042553192","167.810638297872","172.329787234043","175.91914893617","178.425531914894","179.704255319149","179.689361702128","178.187234042553","175.376595744681","171.851063829787","168.53829787234","165.942553191489","164.457446808511","163.823404255319","163.846808510638","164.140425531915","164.393617021277","",
"Arab World","ARB","Population density (people per sq. km of land area)","EN.POP.DNST","","6.95918017851293","7.15092299858406","7.34926724564486","7.55487361340095","7.76819664560376","7.99023072558539","8.22097034327935","8.45877202952132","8.70129077348183","8.94729224680014","9.19554572102563","9.44783498834915","9.70959601469679","9.98810997625448","10.2884689912016","10.6126600688202","10.9585873205945","11.3222031132555","11.6974308541561","12.0796272333559","12.4674053263104","12.8613994537378","13.2613706984529","13.6675969890263","14.0801220387805","14.497992897283","14.920198794967","15.3466579622054","15.7774947064636","16.3578464422241","16.8044055829333","17.1147592049653","17.5766452476599","18.0325954706746","18.5952014891013","19.0281930680176","19.4558652209308","19.8785694905995","20.3060066939325","20.743163668831","21.1904356713119","21.6483632029579","22.1224242356562","22.6182789651583","23.1401049029219","23.6900592455789","24.2658673130497","24.8613223340742","25.470900402834","26.0779420086513","26.6853873088851","28.3522199469637","28.983050139768","29.6094990885858","30.2299495867647","30.8417234143751","31.4447449835999","32.0484735350402","32.6604891383543","33.2872101772223","",
"United Arab Emirates","ARE","Population density (people per sq. km of land area)","EN.POP.DNST","","1.41933258237116","1.578597578147","1.76189805688538","1.94380456209518","2.11003942551394","2.25259081948747","2.39042523232892","2.57138834131231","2.85980005632216","3.30205575894114","3.90682906223599","4.66020839200225","5.55653337088144","6.58204731061673","7.72029005913827","8.98234300197127","10.3540833568009","11.7642635877218","13.1195719515629","14.3552098000563","15.4407490847649","16.401239087581","17.2973387778091","18.219797240214","19.236341875528","20.3658969304421","21.5928752464095","22.9099971838919","24.2984511405238","25.7453815826528","27.2762461278513","28.9058293438468","30.5989157983667","32.3060687130386","34.0058997465503","35.7521965643481","37.614207265559","39.6115742044495","41.763292030414","44.1293579273444","46.5041115178823","48.9829484652211","52.265995494227","57.287764010138","64.6046465784286","74.6292875246409","86.8606871303858","99.8237961137708","111.480822303576","120.388594762039","125.975471698113","128.718642635877","129.511517882287","129.740664601521","130.426584060828","131.807589411433","133.584990143622","135.609208673613","137.574288932695","139.262179667699","",
"Argentina","ARG","Population density (people per sq. km of land area)","EN.POP.DNST","","7.60673295111978","7.72942569308179","7.85215570634599","7.97475307762297","8.09724301985245","8.21942967599546","8.34178222597371","8.46579919537836","8.59345157836657","8.72607566074345","8.86456412673704","9.00839042785262","9.15575932970121","9.30405160979139","9.45148153426219","9.5972437506623","9.74220573028001","9.88823761551363","10.0380554611593","10.1935301404251","10.3550325393084","10.5216703389861","10.6924967753016","10.8660816533842","11.0411789424451","11.2175525909036","11.3949373147854","11.5719862315425","11.7470875400575","11.9190145760024","12.0872301941396","12.251778608465","12.4128428868451","12.570904632969","12.7263840624989","12.8791993247317","13.0294034033815","13.1777625525726","13.3253010023057","13.4727703905082","13.6207038429636","13.7690944169782","13.9174937607109","14.0651553519032","14.2116659175866","14.3567141327662","14.5008397005141","14.6454874318977","14.792609320018","14.904301546759","15.0771515955406","15.2495426957383","15.421160233713","15.5916453818299","15.7606327351655","15.9281350828921","16.0941907925267","16.2585100979651","16.4208266190179","16.580892611147","",
