name,country,latitude,longitude
chennai,india,13.095632669927108,80.24103087965432
bengaluru,india,12.958158574213298,77.59554556404595
madurai,india,9.923329401885553,78.12029751123133
cochin,india,9.947617472218235,76.27331127982067
colombo,sri lanka,6.919032524997244,79.86146373618487
kuala lumpur,malaysia,3.124804805680324,101.66821406968381
chengdu,china,30.65254620711357,104.06455205651886
kunming,china,24.92920556513115,102.8183546803655
delhi,india,28.612413556147157,77.2117050571693
singapore,singapore,1.3836874187772927,103.82359194240786
nagercoil,india,8.179557713883382,77.41463641076601
thiruvananthapuram,india,8.522677516105817,76.92924470316134
kollam,india,8.88315440005053,76.59112169274121
coimbatore,india,11.02555721125371,76.94832999170967
jaipur,india,26.898001963200034,75.79810135912349
bikaner,india,28.01151159219522,73.31026100597853
kanpur,india,26.449836990603316,80.34281065290523
lucknow,india,26.851557178001073,80.93750020936227
gwalior,india,26.25344504815755,78.18755489595034
bhopal,india,23.24288809944447,77.41068806513273
aligarh,india,27.885682422637394,78.07777145588283
panipat,india,29.402087346741638,76.96852770795859
rajkot,india,22.294960147277155,70.79718278837993
chandigarh,india,30.713813136572114,76.75185367538604
kozhikode,india,11.244864920112112,75.78475220067335
kannur,india,11.87289990088196,75.3690580622818
puducherry,india,11.939278163768456,79.81319944817864
brahmapur,india,19.312527597682607,84.79439062320442
moradabad,india,28.835978511230923,78.77089376372665
dehradun,india,30.315362075881858,78.03551702594416
bareilly,india,28.36095951780628,79.43505223950362
lahore,pakistan,31.529909011951148,74.32438806269901
faisalabad,pakistan,31.423638253550422,73.09462371964142
karachi,pakistan,25.406841982250626,68.35691172952968
multan,pakistan,30.156714602159727,71.51857683893374
islamabad,pakistan,33.69374455156799,73.0469852993705
peshwar,pakistan,34.02952733082548,71.53834221254789
nagpur,india,21.14758484708879,79.08804110355422
pune,india,18.52609378406501,73.85985790311098
mumbai,india,19.088248013539776,72.89650279359333
gunagzhou,china,23.149216036659812,113.27601054639983
hong kong,china,22.31297169635991,114.17500640079646
shenzhen,china,22.544108376152174,114.05658540693689
jiangmen,china,22.579687679950982,113.08187655682609
haikou,china,20.024322548794117,110.319394322115
dali,china,25.59597644936541,100.24522658656628
naning,china,22.816398463520056,108.31693143730656
jieyang,china,23.553577874482908,116.37038189211303
quanzhou,china,24.835774898200896,118.58983263023956
xiamen,china,24.494411651636945,118.1358291362958
zhanjiang,china,21.25136622493746,110.39230065834
maoming,china,21.661013911605416,110.91816942184296
yuzhou,china,22.629950144121352,110.15650761719031
chongqing,china,29.550300217140524,106.5396698316166
wuhan,china,30.572835192252032,114.28981894281726
changsha,china,28.18486286513028,113.00015955480924
hangzhou,china,30.260886386830094,120.18575922752672
shanghai,china,31.21375310537745,121.47606910415541
suzhou,china,31.295762750521998,120.57296801318388
wuxi,china,31.538417755270416,120.32266171926754
changzhou,china,31.78426728479456,119.96048442483773
zhenjiang,china,32.187574487139614,119.44237681180148
yangzhou,china,32.39721523887139,119.44393452139794
nantong,china,31.99694300824239,120.8900584469871
jiaxing,china,30.762092274363553,120.74579164938943
huzhou,china,30.87999052871996,120.08746958695808
hefei,china,31.79726072683968,117.24352112096435
anqing,china,30.53146165012307,117.06802331287616
ningbo,china,29.87307740245266,121.56241636962348
nanjing,china,32.03926567909108,118.79195161252215
dongguan,china,23.013816297233124,113.76626467499254
foshan,china,23.012498622295126,113.10915596818943
zhaoqing,china,23.052038052488093,112.48065267166479
macao,china,22.179803504234734,113.55306245804657
zhongshan,china,22.516704318782132,113.3906992279095
huizhou,china,23.090906352514498,114.4195089610655
beihai,china,21.442348426002273,109.12538129923153
fangchenggang,china,21.693808409598862,108.36030070165727
fuzhou,china,26.073028900664664,119.28112371990035
hanoi,vietnam,21.02324385951947,105.83353354274794
haiphong,vietnam,20.848299918859325,106.6877929525304
ho chi minh city,vietnam,10.823408288829215,106.65468765784078
da nang,vietnam,16.057730265925464,108.21805872281404
bangkok,thailand,13.735343250661568,100.52725101355844
nakhon ratchasima,thailand,14.973745632305576,102.08378288652047
chiang mai,thailand,18.78834282755137,98.98530595749867
dhaka,bangladesh,23.716224268884545,90.3962464212852
chattogram,bangladesh,22.35361674571566,91.80151420721127
kolkata,india,22.57472045523631,88.35996562003956
hyderabad,india,17.39133281579477,78.46365353142471
ahmedabad,india,23.023341556793067,72.57767274584019
surat,india,21.193120537636243,72.82916020229592
indore,india,22.71509036849498,75.85938422946757
vadodara,india,22.299535025405017,73.19132585254138
ludhiana,india,30.90557522976652,75.85414091891913
agra,india,27.181349161845073,78.01193958285677
vijayapura,india,16.82973937243194,75.71102190496482
solapur,india,17.662347824611842,75.90648576290062
visakhapatnam,india,17.68590851725232,83.21731803462062
meerut,india,28.987288639808693,77.70706712055734
rohtak,india,28.89309533523635,76.6072816745801
muzaffarnagar,india,29.470956183730124,77.70543779101895
haldwani,india,29.219556581423983,79.51527472913384
gorakhpur,india,26.765768683882612,83.38524066486494
ranchi,india,23.345084952265385,85.31052739975375
bhubaneswar,india,20.28701187826114,85.82283739753619
cuttack,india,20.463531296695642,85.88210979598927
manila,philippines,14.59280,120.98570
phuket,thailand,7.88206,98.38241
pattaya city,thailand,12.91780,100.90730
nonthaburi,thailand,13.86519,100.52686
chaophraya surasak,thailand,13.12382716332449,100.99924132855865
hat yai,thailand,7.01011,100.47464
khon kaen,thailand,16.438838769122594,102.82814683510053
kyaukse,myanmar,21.60714052126881,96.13543497525586
mandalay,myanmar,21.93843431365195,96.09075611476807
pak kret,thailand,13.910893482813412,100.54287299392125
phnom penh,cambodia,11.567222265546853,104.87266650081659
pyin oo lwin,myanmar,22.035367934329237,96.47160755265307
yenangyaung,myanmar,20.460743098870502,94.8828428563765
taungoo,myanmar,18.931950967896153,96.4435242151544
thayetmyo,myanmar,19.321710552132892,95.17694215733724
pyinmana,myanmar,19.740705732761768,96.20579459863062
sagaing,myanmar,21.916843269650858,95.96201355084526
syriam,myanmar,16.75984631651299,96.24787302907556
bogale,myanmar,16.28939088593199,95.40147534090569
pyapon,myanmar,16.283769218458254,95.68072540662963
yamethin,myanmar,20.430649742456062,96.13833164014375	
kawthoung,myanmar,9.993340960479452,98.55482050261283
minbu,myanmar,20.172173673686935,94.87108980255437
tharyarwady,myanmar,17.651135686881208,95.78408706891946
thongwa,myanmar,16.76550669687527,96.53212287830618
kyaiklat,myanmar,16.44345167020099,95.72316873668294	
